survey,site,date,year,month,jday,jday_cat,day_period,microhabitat,species,duration,fem_code,n_ovi
1,AE,2017-06-08,2017,6,159,159,3,C,PN,75,NA,0
1,AE,2017-06-08,2017,6,159,159,3,C,PR,75,629,1
2,AE,2017-06-13,2017,6,164,164,3,OC,PN,60,627,2
2,AE,2017-06-13,2017,6,164,164,3,OC,PN,60,628,1
2,AE,2017-06-13,2017,6,164,164,3,OC,PR,60,NA,0
3,AE,2017-07-11,2017,7,192,192,1,C,PN,120,NA,0
3,AE,2017-07-11,2017,7,192,192,1,C,PR,120,NA,0
4,AE,2017-07-11,2017,7,192,192,2,C,PN,240,NA,0
4,AE,2017-07-11,2017,7,192,192,2,C,PR,240,NA,0
5,AE,2017-07-11,2017,7,192,192,4,C,PN,240,NA,0
5,AE,2017-07-11,2017,7,192,192,4,C,PR,240,NA,0
6,AE,2017-07-11,2017,7,192,192,5,C,PN,165,NA,0
6,AE,2017-07-11,2017,7,192,192,5,C,PR,165,NA,0
7,AE,2017-07-11,2017,7,192,192,4,O,PN,120,NA,0
7,AE,2017-07-11,2017,7,192,192,4,O,PR,120,162,14
8,AE,2017-07-11,2017,7,192,192,5,O,PN,60,NA,0
8,AE,2017-07-11,2017,7,192,192,5,O,PR,60,NA,0
9,AE,2017-07-11,2017,7,192,192,1,OC,PN,180,NA,0
9,AE,2017-07-11,2017,7,192,192,1,OC,PR,180,NA,0
10,AE,2017-07-11,2017,7,192,192,2,OC,PN,360,324,1
10,AE,2017-07-11,2017,7,192,192,2,OC,PR,360,NA,0
11,AE,2017-07-11,2017,7,192,192,4,OC,PN,360,227,1
11,AE,2017-07-11,2017,7,192,192,4,OC,PN,360,235,1
11,AE,2017-07-11,2017,7,192,192,4,OC,PN,360,239,1
11,AE,2017-07-11,2017,7,192,192,4,OC,PN,360,332,1
11,AE,2017-07-11,2017,7,192,192,4,OC,PR,360,119,1
12,AE,2017-07-11,2017,7,192,192,5,OC,PN,225,NA,0
12,AE,2017-07-11,2017,7,192,192,5,OC,PR,225,NA,0
13,AE,2017-07-12,2017,7,193,193,1,C,PN,365,NA,0
13,AE,2017-07-12,2017,7,193,193,1,C,PR,365,NA,0
14,AE,2017-07-12,2017,7,193,193,2,C,PN,180,NA,0
14,AE,2017-07-12,2017,7,193,193,2,C,PR,180,NA,0
15,AE,2017-07-12,2017,7,193,193,3,C,PN,125,NA,0
15,AE,2017-07-12,2017,7,193,193,3,C,PR,125,NA,0
16,AE,2017-07-12,2017,7,193,193,4,C,PN,325,NA,0
16,AE,2017-07-12,2017,7,193,193,4,C,PR,325,NA,0
17,AE,2017-07-12,2017,7,193,193,5,C,PN,60,NA,0
17,AE,2017-07-12,2017,7,193,193,5,C,PR,60,NA,0
18,AE,2017-07-12,2017,7,193,193,1,O,PN,210,NA,0
18,AE,2017-07-12,2017,7,193,193,1,O,PR,210,NA,0
19,AE,2017-07-12,2017,7,193,193,2,O,PN,45,NA,0
19,AE,2017-07-12,2017,7,193,193,2,O,PR,45,214,16
20,AE,2017-07-12,2017,7,193,193,3,O,PN,70,NA,0
20,AE,2017-07-12,2017,7,193,193,3,O,PR,70,155,21
20,AE,2017-07-12,2017,7,193,193,3,O,PR,70,158,1
20,AE,2017-07-12,2017,7,193,193,3,O,PR,70,180,7
21,AE,2017-07-12,2017,7,193,193,4,O,PN,115,NA,0
21,AE,2017-07-12,2017,7,193,193,4,O,PR,115,148,1
21,AE,2017-07-12,2017,7,193,193,4,O,PR,115,149,1
22,AE,2017-07-12,2017,7,193,193,1,OC,PN,485,NA,0
22,AE,2017-07-12,2017,7,193,193,1,OC,PR,485,NA,0
23,AE,2017-07-12,2017,7,193,193,2,OC,PN,300,347,1
23,AE,2017-07-12,2017,7,193,193,2,OC,PR,300,NA,0
24,AE,2017-07-12,2017,7,193,193,3,OC,PN,185,361,1
24,AE,2017-07-12,2017,7,193,193,3,OC,PR,185,141,1
24,AE,2017-07-12,2017,7,193,193,3,OC,PR,185,142,1
25,AE,2017-07-12,2017,7,193,193,4,OC,PN,430,273,1
25,AE,2017-07-12,2017,7,193,193,4,OC,PR,430,NA,0
26,AE,2017-07-12,2017,7,193,193,5,OC,PN,120,NA,0
26,AE,2017-07-12,2017,7,193,193,5,OC,PR,120,NA,0
27,CJ,2017-06-16,2017,6,167,167,4,C,PN,45,621,1
27,CJ,2017-06-16,2017,6,167,167,4,C,PR,45,NA,0
28,CJ,2017-06-16,2017,6,167,167,5,C,PN,15,622,1
28,CJ,2017-06-16,2017,6,167,167,5,C,PR,15,NA,0
29,CJ,2017-06-16,2017,6,167,167,4,OC,PN,50,620,1
29,CJ,2017-06-16,2017,6,167,167,4,OC,PR,50,NA,0
30,CJ,2017-07-06,2017,7,187,187,3,C,PN,35,501,1
30,CJ,2017-07-06,2017,7,187,187,3,C,PR,35,NA,0
31,CJ,2018-07-18,2018,7,199,199,3,C,PR,210,NA,0
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,30,500,2
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,30,623,2
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,30,624,2
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,30,625,2
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,30,626,2
33,CJ,2018-07-18,2018,7,199,199,3,OC,PR,180,NA,0
34,CJ,2018-09-23,2018,9,266,266,4,C,PN,30,NA,0
35,CJ,2018-09-23,2018,9,266,266,4,O,PN,30,NA,0
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,60,496,8
37,CJ,2018-09-27,2018,9,270,270,2,C,PN,40,NA,0
38,CJ,2018-09-27,2018,9,270,270,3,C,PN,90,NA,0
39,CJ,2018-09-27,2018,9,270,270,2,O,PN,120,NA,0
40,CJ,2018-09-27,2018,9,270,270,3,O,PN,75,NA,0
41,CJ,2018-09-27,2018,9,270,270,4,O,PN,25,NA,0
42,CJ,2018-09-27,2018,9,270,270,2,OC,PN,40,NA,0
43,CJ,2018-09-27,2018,9,270,270,3,OC,PN,165,NA,0
44,CJ,2018-09-27,2018,9,270,270,4,OC,PN,80,546,2
45,CJ,2018-09-28,2018,9,271,271,2,C,PN,94,NA,0
46,CJ,2018-09-28,2018,9,271,271,4,C,PN,20,NA,0
47,CJ,2018-09-28,2018,9,271,271,2,O,PN,90,NA,0
48,CJ,2018-09-28,2018,9,271,271,3,O,PN,96,603,1
48,CJ,2018-09-28,2018,9,271,271,3,O,PN,96,609,2
49,CJ,2018-09-28,2018,9,271,271,4,O,PN,28,612,1
50,CJ,2018-09-28,2018,9,271,271,2,OC,PN,75,NA,0
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,563,4
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,570,1
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,574,6
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,576,7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,577,1
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,597,6
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,188,604,2
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,86,590,8
