survey,site,date,year,month,jday,jday_cat,microhabitat,species,day_period,n_ovi,n_fem,duration
1,AE,2017-06-08T00:00:00Z,2017,6,159,159,C,PN,3,0,0,75
1,AE,2017-06-08T00:00:00Z,2017,6,159,159,C,PR,3,1,1,75
2,AE,2017-06-13T00:00:00Z,2017,6,164,164,OC,PN,3,3,2,60
2,AE,2017-06-13T00:00:00Z,2017,6,164,164,OC,PR,3,0,0,60
3,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PN,1,0,0,120
4,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PN,2,0,0,240
5,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PN,4,0,0,240
6,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PN,5,0,0,165
3,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PR,1,0,0,120
4,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PR,2,0,0,240
5,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PR,4,0,0,240
6,AE,2017-07-11T00:00:00Z,2017,7,192,192,C,PR,5,0,0,165
9,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PN,1,0,0,180
10,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PN,2,1,1,360
11,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PN,4,4,4,360
12,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PN,5,0,0,225
9,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PR,1,0,0,180
10,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PR,2,0,0,360
11,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PR,4,1,1,360
12,AE,2017-07-11T00:00:00Z,2017,7,192,192,OC,PR,5,0,0,225
7,AE,2017-07-11T00:00:00Z,2017,7,192,192,O,PN,4,0,0,120
8,AE,2017-07-11T00:00:00Z,2017,7,192,192,O,PN,5,0,0,60
7,AE,2017-07-11T00:00:00Z,2017,7,192,192,O,PR,4,14,1,120
8,AE,2017-07-11T00:00:00Z,2017,7,192,192,O,PR,5,0,0,60
13,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PN,1,0,0,365
14,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PN,2,0,0,180
15,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PN,3,0,0,125
16,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PN,4,0,0,325
17,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PN,5,0,0,60
13,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PR,1,0,0,365
14,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PR,2,0,0,180
15,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PR,3,0,0,125
16,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PR,4,0,0,325
17,AE,2017-07-12T00:00:00Z,2017,7,193,193,C,PR,5,0,0,60
22,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PN,1,0,0,485
23,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PN,2,1,1,300
24,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PN,3,1,1,185
25,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PN,4,1,1,430
26,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PN,5,0,0,120
22,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PR,1,0,0,485
23,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PR,2,0,0,300
24,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PR,3,2,2,185
25,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PR,4,0,0,430
26,AE,2017-07-12T00:00:00Z,2017,7,193,193,OC,PR,5,0,0,120
18,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PN,1,0,0,210
19,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PN,2,0,0,45
20,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PN,3,0,0,70
21,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PN,4,0,0,115
18,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PR,1,0,0,210
19,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PR,2,16,1,45
20,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PR,3,29,3,70
21,AE,2017-07-12T00:00:00Z,2017,7,193,193,O,PR,4,2,2,115
27,CJ,2017-06-16T00:00:00Z,2017,6,167,167,C,PN,4,1,1,45
28,CJ,2017-06-16T00:00:00Z,2017,6,167,167,C,PN,5,1,1,15
27,CJ,2017-06-16T00:00:00Z,2017,6,167,167,C,PR,4,0,0,45
28,CJ,2017-06-16T00:00:00Z,2017,6,167,167,C,PR,5,0,0,15
29,CJ,2017-06-16T00:00:00Z,2017,6,167,167,OC,PN,4,1,1,50
29,CJ,2017-06-16T00:00:00Z,2017,6,167,167,OC,PR,4,0,0,50
30,CJ,2017-07-06T00:00:00Z,2017,7,187,187,C,PN,3,1,1,35
30,CJ,2017-07-06T00:00:00Z,2017,7,187,187,C,PR,3,0,0,35
31,CJ,2018-07-18T00:00:00Z,2018,7,199,199,C,PR,3,0,0,210
33,CJ,2018-07-18T00:00:00Z,2018,7,199,199,OC,PR,3,0,0,180
32,CJ,2018-07-18T00:00:00Z,2018,7,199,199,O,PR,3,10,5,30
34,CJ,2018-09-23T00:00:00Z,2018,9,266,266,C,PN,4,0,0,30
36,CJ,2018-09-23T00:00:00Z,2018,9,266,266,OC,PN,4,8,1,60
35,CJ,2018-09-23T00:00:00Z,2018,9,266,266,O,PN,4,0,0,30
37,CJ,2018-09-27T00:00:00Z,2018,9,270,270,C,PN,2,0,0,40
38,CJ,2018-09-27T00:00:00Z,2018,9,270,270,C,PN,3,0,0,90
42,CJ,2018-09-27T00:00:00Z,2018,9,270,270,OC,PN,2,0,0,40
43,CJ,2018-09-27T00:00:00Z,2018,9,270,270,OC,PN,3,0,0,165
44,CJ,2018-09-27T00:00:00Z,2018,9,270,270,OC,PN,4,2,1,80
39,CJ,2018-09-27T00:00:00Z,2018,9,270,270,O,PN,2,0,0,120
40,CJ,2018-09-27T00:00:00Z,2018,9,270,270,O,PN,3,0,0,75
41,CJ,2018-09-27T00:00:00Z,2018,9,270,270,O,PN,4,0,0,25
45,CJ,2018-09-28T00:00:00Z,2018,9,271,271,C,PN,2,0,0,94
46,CJ,2018-09-28T00:00:00Z,2018,9,271,271,C,PN,4,0,0,20
50,CJ,2018-09-28T00:00:00Z,2018,9,271,271,OC,PN,2,0,0,75
51,CJ,2018-09-28T00:00:00Z,2018,9,271,271,OC,PN,3,27,7,188
52,CJ,2018-09-28T00:00:00Z,2018,9,271,271,OC,PN,4,8,1,86
47,CJ,2018-09-28T00:00:00Z,2018,9,271,271,O,PN,2,0,0,90
48,CJ,2018-09-28T00:00:00Z,2018,9,271,271,O,PN,3,3,2,96
49,CJ,2018-09-28T00:00:00Z,2018,9,271,271,O,PN,4,1,1,28
