site;height;rad;wind;temp
AE;0;R;NW;47,2
AE;0;R;NW;47,5
AE;0;R;NW;47,3
AE;0;R;NW;46,8
AE;0;R;NW;46,8
AE;0;R;NW;46,7
AE;0,5;R;NW;42,5
AE;0,5;R;NW;41,9
AE;0,5;R;NW;42,1
AE;0,5;R;NW;41,9
AE;0,5;R;NW;42
AE;1;R;NW;40,7
AE;1;R;NW;39,8
AE;1;R;NW;42,2
AE;1;R;NW;41
AE;1;R;NW;40,6
AE;1;R;NW;39,9
AE;1,5;R;NW;40,5
AE;1,5;R;NW;39,9
AE;1,5;R;NW;40,7
AE;1,5;R;NW;40,8
AE;1,5;R;NW;40,6
AE;1,5;R;NW;40,3
AE;2;R;NW;38,9
AE;2;R;NW;39,5
AE;2;R;NW;39,5
AE;2;R;NW;40,1
AE;2;R;NW;38,1
AE;2;R;NW;38,2
AE;5;R;NW;39
AE;5;R;NW;39
AE;5;R;NW;39
AE;5;R;NW;39,7
AE;5;R;NW;38,9
AE;5;R;NW;38,8
AE;10;R;NW;36
AE;10;R;NW;35,4
AE;10;R;NW;35,9
AE;10;R;NW;33,5
AE;10;R;NW;33,8
AE;10;R;NW;33,7
AE;0;R;W;32,9
AE;0;R;W;32,9
AE;0;R;W;32,8
AE;0;R;W;32,8
AE;0;R;W;32,7
AE;0,5;R;W;30,7
AE;0,5;R;W;30,8
AE;0,5;R;W;30,7
AE;0,5;R;W;30,8
AE;0,5;R;W;30,8
AE;1;R;W;31,7
AE;1;R;W;31,8
AE;1;R;W;31,7
AE;1;R;W;31,8
AE;1,5;R;W;30,1
AE;1,5;R;W;30,1
AE;1,5;R;W;30,2
AE;1,5;R;W;30,2
AE;2;R;W;29,4
AE;2;R;W;29,3
AE;2;R;W;29,2
AE;2;R;W;29,7
AE;2;R;W;29,4
AE;5;R;W;28,1
AE;5;R;W;28,6
AE;5;R;W;30,2
AE;5;R;W;30,2
AE;5;R;W;30,2
AE;5;R;W;30,2
AE;10;R;W;29,6
AE;10;R;W;29,6
AE;10;R;W;29,5
AE;10;R;W;29,5
AE;10;R;W;29,1
AE;10;R;W;28,6
AE;100;R;NW;29
AE;100;R;NW;29
AE;100;R;NW;29
AE;100;R;NW;28,5
AE;100;R;W;27,7
AE;100;R;W;27,7
AE;100;R;W;27,8
AE;100;R;W;27,4
AE;100;R;W;27,2
AE;100;R;W;27,3
AE;100;R;W;27,9
AE;0;NR;W;26,4
AE;0;NR;W;26,3
AE;0;NR;W;26,9
AE;0;NR;W;27
AE;0;NR;W;26,4
AE;0;NR;W;26,3
AE;1;NR;W;26,5
AE;1;NR;W;26,5
AE;1;NR;W;26,4
AE;1;NR;W;26,3
AE;1,5;NR;W;26,5
AE;1,5;NR;W;26,5
AE;1,5;NR;W;26,5
AE;1,5;NR;W;26,4
AE;2;NR;W;26,4
AE;2;NR;W;26,4
AE;2;NR;W;26,4
AE;5;NR;W;26,4
AE;5;NR;W;26,5
AE;5;NR;W;26,5
AE;5;NR;W;26,5
AE;10;NR;W;26,5
AE;10;NR;W;26,2
AE;10;NR;W;26,2
AE;10;NR;W;26,2
AE;10;NR;W;26,2
AE;100;NR;W;26,4
AE;100;NR;W;26,4
AE;100;NR;W;26,4
AE;100;NR;W;26,4
